id,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
1026,优,35.0,79.0,16.0,26.0,9.0,36.0,0.99,48.0
1027,优,38.0,116.0,22.0,34.0,10.0,32.0,0.99,45.0
1028,优,36.0,114.0,21.0,34.0,9.0,37.0,0.97,42.0
1029,优,49.0,157.0,22.0,50.0,13.0,40.0,0.86,46.0
1030,优,31.0,28.0,18.0,28.0,8.0,39.0,0.88,36.0
1031,优,36.0,69.0,12.0,31.0,10.0,30.0,0.68,58.0
1032,良,51.0,130.0,19.0,55.0,18.0,47.0,1.02,47.0
1033,良,72.0,176.0,41.0,92.0,21.0,63.0,1.46,42.0
1034,良,76.0,160.0,46.0,98.0,23.0,68.0,1.41,36.0
1035,良,85.0,146.0,58.0,113.0,31.0,67.0,1.92,39.0
1036,轻度污染,112.0,219.0,84.0,148.0,32.0,73.0,1.72,68.0
1037,良,65.0,133.0,46.0,77.0,12.0,40.0,1.14,53.0
1038,优,40.0,105.0,21.0,37.0,7.0,21.0,0.69,60.0
1039,优,46.0,162.0,19.0,45.0,11.0,41.0,0.69,45.0
1040,良,51.0,136.0,24.0,53.0,12.0,35.0,0.96,57.0
1041,良,66.0,194.0,33.0,79.0,20.0,55.0,1.38,34.0
1042,良,89.0,237.0,59.0,124.0,27.0,69.0,1.73,21.0
1043,良,94.0,212.0,65.0,126.0,25.0,61.0,2.01,28.0
1044,轻度污染,121.0,261.0,88.0,163.0,26.0,66.0,2.02,55.0
1045,良,83.0,196.0,32.0,102.0,17.0,45.0,0.82,70.0
1046,良,57.0,89.0,17.0,61.0,16.0,41.0,0.89,53.0
1047,优,47.0,56.0,28.0,46.0,10.0,54.0,1.1,16.0
1048,良,51.0,51.0,32.0,56.0,12.0,50.0,1.51,15.0
1049,良,81.0,182.0,57.0,107.0,14.0,47.0,1.96,12.0
1050,良,51.0,105.0,34.0,54.0,9.0,37.0,1.28,24.0
1051,优,50.0,164.0,30.0,52.0,10.0,41.0,1.06,24.0
1052,优,32.0,75.0,12.0,19.0,7.0,21.0,0.75,51.0
1053,优,49.0,194.0,34.0,40.0,12.0,30.0,0.82,34.0
1054,良,92.0,275.0,68.0,95.0,26.0,58.0,1.25,27.0
1055,良,74.0,178.0,52.0,91.0,22.0,68.0,0.99,23.0
1056,良,67.0,152.0,46.0,65.0,15.0,43.0,0.95,44.0
1057,良,86.0,178.0,54.0,119.0,20.0,61.0,1.3,35.0
1058,良,98.0,230.0,55.0,144.0,22.0,66.0,1.18,33.0
1059,良,51.0,46.0,19.0,55.0,18.0,47.0,0.73,40.0
1060,良,67.0,102.0,40.0,81.0,17.0,53.0,0.9,38.0
1061,轻度污染,109.0,234.0,79.0,159.0,22.0,75.0,1.26,48.0
1062,良,83.0,157.0,49.0,109.0,23.0,66.0,0.89,58.0
1063,良,80.0,117.0,51.0,108.0,22.0,80.0,1.11,32.0
1064,轻度污染,110.0,199.0,80.0,150.0,26.0,75.0,1.5,53.0
1065,轻度污染,133.0,280.0,98.0,181.0,32.0,68.0,1.8,51.0
1066,良,91.0,202.0,65.0,121.0,20.0,55.0,1.22,43.0
1067,轻度污染,129.0,241.0,97.0,177.0,28.0,89.0,1.54,42.0
1068,中度污染,158.0,276.0,119.0,206.0,41.0,101.0,1.89,41.0
1069,轻度污染,113.0,219.0,78.0,143.0,24.0,56.0,1.14,66.0
1070,良,51.0,46.0,20.0,53.0,22.0,42.0,0.63,57.0
1071,良,51.0,44.0,22.0,55.0,18.0,41.0,0.69,67.0
1072,良,71.0,111.0,46.0,82.0,18.0,61.0,1.04,31.0
1073,优,43.0,42.0,29.0,44.0,12.0,38.0,0.85,33.0
1074,优,40.0,57.0,19.0,37.0,13.0,28.0,0.79,59.0
1075,良,75.0,176.0,51.0,83.0,21.0,53.0,1.09,57.0
1076,轻度污染,143.0,289.0,109.0,161.0,28.0,80.0,1.71,48.0
1077,轻度污染,131.0,238.0,99.0,151.0,25.0,80.0,1.46,47.0
1078,良,100.0,147.0,72.0,126.0,34.0,86.0,1.72,31.0
1079,轻度污染,123.0,160.0,91.0,165.0,42.0,106.0,1.99,32.0
1080,轻度污染,134.0,197.0,101.0,139.0,18.0,68.0,1.3,34.0
1081,优,35.0,6.0,21.0,30.0,10.0,42.0,1.07,43.0
1082,良,100.0,255.0,72.0,96.0,13.0,34.0,1.58,78.0
1083,轻度污染,114.0,273.0,85.0,130.0,19.0,59.0,1.7,50.0
1084,良,84.0,173.0,55.0,96.0,23.0,54.0,1.24,49.0
1085,优,38.0,42.0,20.0,35.0,14.0,49.0,1.01,40.0
1086,优,26.0,9.0,15.0,22.0,10.0,40.0,1.07,40.0
1087,良,56.0,168.0,36.0,52.0,15.0,37.0,1.1,49.0
1088,良,57.0,87.0,30.0,63.0,16.0,51.0,0.92,53.0
1089,良,95.0,224.0,68.0,112.0,21.0,69.0,1.34,48.0
1090,轻度污染,133.0,264.0,101.0,152.0,25.0,74.0,1.59,47.0
1091,中度污染,157.0,246.0,119.0,203.0,34.0,116.0,2.24,31.0
1092,中度污染,178.0,247.0,134.0,214.0,36.0,111.0,2.01,37.0
